127.0.0.1, 2019-06-23 00:56:08, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_formacion_academica.f_hoja/1, HTTP/1.1, 200, 0.052668
127.0.0.1, 2019-06-23 00:56:10, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_formacion_academica.f_hoja/1/new/t_formacion_academica, HTTP/1.1, 200, 0.028353
127.0.0.1, 2019-06-23 00:56:30, GET, /Hojas_de_Vida/default/tipo_estudio_manage, HTTP/1.1, 200, 0.031326
127.0.0.1, 2019-06-23 00:56:32, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 200, 0.023274
127.0.0.1, 2019-06-23 00:56:38, POST, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 303, 0.162955
127.0.0.1, 2019-06-23 00:56:38, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio, HTTP/1.1, 200, 0.036740
127.0.0.1, 2019-06-23 00:56:40, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 200, 0.023085
127.0.0.1, 2019-06-23 00:56:46, POST, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 303, 0.155539
127.0.0.1, 2019-06-23 00:56:46, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio, HTTP/1.1, 200, 0.064399
127.0.0.1, 2019-06-23 00:56:48, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/edit/t_tipo_estudio/2, HTTP/1.1, 200, 0.029743
127.0.0.1, 2019-06-23 00:56:51, POST, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/edit/t_tipo_estudio/2, HTTP/1.1, 303, 0.200059
127.0.0.1, 2019-06-23 00:56:51, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio, HTTP/1.1, 200, 0.026414
127.0.0.1, 2019-06-23 00:56:56, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 200, 0.022063
127.0.0.1, 2019-06-23 00:57:05, POST, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 303, 0.147588
127.0.0.1, 2019-06-23 00:57:05, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio, HTTP/1.1, 200, 0.028562
127.0.0.1, 2019-06-23 00:57:07, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 200, 0.022562
127.0.0.1, 2019-06-23 00:57:12, POST, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio/new/t_tipo_estudio, HTTP/1.1, 303, 0.190795
127.0.0.1, 2019-06-23 00:57:12, GET, /Hojas_de_Vida/default/tipo_estudio_manage/t_tipo_estudio, HTTP/1.1, 200, 0.030385
127.0.0.1, 2019-06-23 00:57:20, GET, /Hojas_de_Vida/default/formacion_academica_manage, HTTP/1.1, 200, 0.024039
127.0.0.1, 2019-06-23 00:57:22, GET, /Hojas_de_Vida/default/formacion_academica_manage/t_formacion_academica/new/t_formacion_academica, HTTP/1.1, 200, 0.028949
127.0.0.1, 2019-06-23 00:57:59, POST, /Hojas_de_Vida/default/formacion_academica_manage/t_formacion_academica/new/t_formacion_academica, HTTP/1.1, 303, 0.165572
127.0.0.1, 2019-06-23 00:57:59, GET, /Hojas_de_Vida/default/formacion_academica_manage/t_formacion_academica, HTTP/1.1, 200, 0.030517
127.0.0.1, 2019-06-23 00:58:07, GET, /Hojas_de_Vida/default/hoja_vida_manage, HTTP/1.1, 200, 0.027613
127.0.0.1, 2019-06-23 00:58:10, GET, /Hojas_de_Vida/default/index, HTTP/1.1, 200, 0.018662
127.0.0.1, 2019-06-23 00:58:19, GET, /Hojas_de_Vida/default/index, HTTP/1.1, 200, 0.023408
127.0.0.1, 2019-06-23 00:58:36, GET, /, HTTP/1.1, 303, 0.000297
127.0.0.1, 2019-06-23 00:58:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.101395
127.0.0.1, 2019-06-23 00:58:36, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000313
127.0.0.1, 2019-06-23 00:58:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001128
127.0.0.1, 2019-06-23 00:58:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000275
127.0.0.1, 2019-06-23 00:58:37, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000258
127.0.0.1, 2019-06-23 00:58:37, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000260
127.0.0.1, 2019-06-23 00:58:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000777
127.0.0.1, 2019-06-23 00:58:38, GET, /admin/default/index, HTTP/1.1, 303, 0.121590
127.0.0.1, 2019-06-23 00:58:38, GET, /admin/default/site, HTTP/1.1, 200, 0.031500
127.0.0.1, 2019-06-23 00:58:38, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000320
127.0.0.1, 2019-06-23 00:58:38, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.000435
127.0.0.1, 2019-06-23 00:58:38, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000213
127.0.0.1, 2019-06-23 00:58:38, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000384
127.0.0.1, 2019-06-23 00:58:41, GET, /admin/default/design/Hojas_de_Vida, HTTP/1.1, 200, 0.090266
127.0.0.1, 2019-06-23 00:58:41, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.000927
127.0.0.1, 2019-06-23 00:58:41, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2019-06-23 00:58:41, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.000186
127.0.0.1, 2019-06-23 00:58:41, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.000488
127.0.0.1, 2019-06-23 00:58:43, GET, /admin/default/peek/Hojas_de_Vida/models/menu.py, HTTP/1.1, 200, 0.064966
